id,comment,comment_ko
59,Garners compliments,칭찬을 받습니다
60,"Spicy, citrusy, and a little smokey","매콤하고, 시트러스 향이 나며, 약간 훈연 향이 납니다."
61,Lasts for 8 hours or more,8시간 이상 지속됩니다
62,Strong without being overwhelming,강렬하지만 과하지 않은
63,Great for impressing others,남들에게 깊은 인상을 주기에 아주 좋습니다
64,Sophisticated and formal scent,세련되고 격식 있는 향
65,Perfect for the winter season,겨울 시즌에 딱 좋아요
66,High-quality fragrance,고품질 향수
67,Long-lasting scent,오래 지속되는 향기
68,Great for special occasions,특별한 날에 딱 좋아요
69,Attracts attention and compliments,사람들의 시선과 칭찬을 끌어당긴다
70,Masculine scent for men,남성을 위한 남성적인 향
71,Unisex fragrance,남녀 공용 향수
72,Feminine scent for women,여성을 위한 여성스러운 향수
73,Has a vintage yet modern feel,빈티지하면서도 모던한 느낌을 가지고 있습니다.
74,Timeless and appealing to different generations,시대를 초월하여 여러 세대에 어필합니다
75,Artistic expression in fragrance form,향수로 표현된 예술적 표현
76,Compliment-worthy and attractive to others,칭찬받을 만하고 다른 사람들에게 매력적으로 보이는
77,Captivating and attention-grabbing,매혹적이고 시선을 사로잡는
78,Excellent longevity and projection,뛰어난 지속력과 확산력
79,Suitable for confident wearers of any age or gender,나이와 성별에 관계없이 자신감 있는 분이라면 누구나 착용하기에 적합합니다.
80,Conjures up images of nature and gardening,자연과 정원 가꾸기를 떠올리게 합니다.
81,Unique and unusual,독특하고 특이한
82,Long-lasting,오래 지속되는
83,Alluring and sensual,매혹적이고 관능적인
84,Head-turner,시선을 사로잡는
85,Great for personal use and signature scent,개인 용도 및 시그니처 향수로 사용하기에 좋습니다.
86,Enduring and penetrating,지속적이고 예리한
87,Scent cloud creator,향기 구름 생성기
88,Refreshing sophistication,상쾌한 세련미
89,Distinctive and unique scent,독특하고 특별한 향
90,Long-lasting fragrance,오래 지속되는 향기
91,Good for winter season,겨울철에 좋습니다
92,A signature scent for some people,어떤 사람들에게는 시그니처 향
93,Great for evening wear,저녁 모임에 입기 좋습니다.
94,Feminine and edgy,여성스러우면서도 개성 넘치는
95,Unisex fragrance,남녀 공용 향수
96,Good for office and casual wear,사무실 및 캐주얼 복장에 적합합니다.
97,"Alluring, feminine, pretty and sweet","매혹적이고, 여성스럽고, 예쁘고, 사랑스럽다"
98,"Warm, elegant, and womanly","따뜻하고, 우아하고, 여성스러운"
99,Respectful usage offers long-lasting scent,올바르게 사용하면 향기가 오래 지속됩니다.
100,Tends to receive compliments,칭찬을 잘 받는 편이다
101,Great sales success and marks generations,엄청난 판매 성공과 세대를 잇는 업적
102,Delicious and captivating fruity opening,맛있고 매혹적인 과일 향으로 시작됩니다
103,Soft patchouli note in drydown,잔향에 은은한 파출리 향이 남습니다.
104,Best worn during autumn season,가을에 착용하기에 가장 좋습니다.
105,Mysterious and alluring,신비롭고 매혹적인
106,Unisex scent,남녀 공용 향
107,Masterpiece,걸작
108,Sensual fragrance,관능적인 향기
109,Good fit for individual personalities,개개인의 성격에 잘 어울립니다
110,Perfect representation of dark magic,어둠의 마법을 완벽하게 표현한 작품
111,Attractive on women in formal wear,정장을 입은 여성에게 매력적으로 보입니다.
112,Smooth and never harsh,부드럽고 절대 거칠지 않습니다.
113,Perfect for cold and bad weather,춥고 궂은 날씨에 딱 좋습니다.
114,Deep scent with no sharp edges or high notes,날카롭거나 고음역이 없는 깊이 있는 향
115,Captivating and magical fragrance,매혹적이고 마법 같은 향기
116,Sensual and desirable fragrance for confident women,자신감 넘치는 여성을 위한 관능적이고 매혹적인 향수
117,Mysterious and well-created perfume,신비롭고 정교하게 만들어진 향수
118,Gorgeous and well-crafted perfume,아름답고 정교하게 만들어진 향수
119,Great for reacquainting with past perfumes,예전에 맡았던 향수들을 다시 떠올리기에 아주 좋습니다.
120,May smell like play doh or flat soda to some people,어떤 사람들에게는 플레이도우나 김빠진 탄산음료 냄새가 날 수도 있습니다.
121,"Beautiful, elegant scent",아름답고 우아한 향기
122,Sophisticated and feminine,세련되고 여성스러운
123,Suitable for any season,모든 계절에 적합합니다
124,Smooth and white floral with pear notes,부드럽고 은은한 꽃향에 배 향이 더해진 향입니다.
125,Great for special occasions,특별한 날에 딱 좋아요
126,Positive associations and memories for some,일부에게는 긍정적인 연상과 기억
127,Well-balanced in former formulation,이전 제형에서 균형이 잘 잡혀 있었습니다.
128,Admired by some men,일부 남성들에게 존경받는
129,Good projection,좋은 투영
130,Pleasant smell,기분 좋은 냄새
131,Garners compliments,칭찬을 받습니다
132,"Spicy, citrusy, and a little smokey","매콤하고, 시트러스 향이 나며, 약간 훈연 향이 납니다."
133,Lasts for 8 hours or more,8시간 이상 지속됩니다
134,Strong without being overwhelming,강렬하지만 과하지 않은
135,Great for impressing others,남들에게 깊은 인상을 주기에 아주 좋습니다
136,Sophisticated and formal scent,세련되고 격식 있는 향
137,Perfect for the winter season,겨울 시즌에 딱 좋아요
138,High-quality fragrance,고품질 향수
139,Long-lasting scent,오래 지속되는 향기
140,Great for special occasions,특별한 날에 딱 좋아요
141,Attracts attention and compliments,사람들의 시선과 칭찬을 끌어당긴다
142,Masculine scent for men,남성을 위한 남성적인 향
143,Unisex fragrance,남녀 공용 향수
144,Feminine scent for women,여성을 위한 여성스러운 향수
145,Has a vintage yet modern feel,빈티지하면서도 모던한 느낌을 가지고 있습니다.
146,Timeless and appealing to different generations,시대를 초월하여 여러 세대에 어필합니다
147,Artistic expression in fragrance form,향수로 표현된 예술적 표현
148,Compliment-worthy and attractive to others,칭찬받을 만하고 다른 사람들에게 매력적으로 보이는
149,Captivating and attention-grabbing,매혹적이고 시선을 사로잡는
150,Excellent longevity and projection,뛰어난 지속력과 확산력
151,Suitable for confident wearers of any age or gender,나이와 성별에 관계없이 자신감 있는 분이라면 누구나 착용하기에 적합합니다.
152,Conjures up images of nature and gardening,자연과 정원 가꾸기를 떠올리게 합니다.
153,Mysterious and flirty fragrance,신비롭고 매혹적인 향기
154,Spicy and dark scent,매콤하고 어두운 향
155,"Suitable for feminine, femme fatale image",여성스럽고 팜므파탈적인 이미지에 적합합니다.
156,Unique tropical smell with pepper and ginger undertones,후추와 생강 향이 은은하게 감도는 독특한 열대 향
157,Good for special occasions,특별한 날에 좋습니다
158,Receives compliments often,칭찬을 자주 받습니다.
159,Sophisticated and subtle scent,세련되고 은은한 향
160,Perfect for work,업무용으로 완벽합니다
161,A great fragrance for a night on the town,밤 외출에 딱 어울리는 훌륭한 향수
162,Great attention grabber,시선을 사로잡는 훌륭한 작품
163,Received quite a few compliments,칭찬을 꽤 많이 받았어요
164,"Smooth, soothing, and incredibly self-satisfying everyday casual scent","부드럽고 편안하며, 스스로에게 놀라운 만족감을 주는 데일리 캐주얼 향"
165,Great loud scent for hanging out with the guys,남자들끼리 어울릴 때 딱 좋은 강렬한 향
166,Crazy projection and longevity,놀라운 예측력과 장수
167,Smells better than Le Male,르 말레보다 향이 더 좋다
168,A great aromatic therapy for stress relief,스트레스 해소에 탁월한 아로마테라피
169,Calvin Klein,캘빈 클라인
170,Good quality fragrance,좋은 품질의 향수
171,Sensual and intoxicating,관능적이고 황홀한
172,"Unique blend of fruit, floral, and wood notes","과일, 꽃, 나무 향이 독특하게 조화된 향"
173,Suitable for evening or romantic occasions,저녁이나 로맨틱한 자리에 적합합니다.
174,Long-lasting scent,오래 지속되는 향기
175,Appealing to both men and women,남녀 모두에게 어필합니다
176,Attractive bottle design,매력적인 병 디자인
177,Maison Francis Kurkdjian,메종 프랜시스 쿠르크지앙
178,A unique and memorable scent that lingers in your memory,독특하고 기억에 오래도록 남는 향기
179,"Complex scent with a mix of sweet, metallic, and salty notes","달콤함, 금속성 향, 짠맛이 어우러진 복합적인 향"
180,Great for special occasions and making a statement,특별한 날이나 개성을 표현하고 싶을 때 딱 좋습니다.
181,Ideal for cold weather seasons,추운 계절에 이상적입니다.
182,A masterpiece of modern perfumery that stands out from the rest,다른 향수들과는 확연히 차별화되는 현대 향수의 걸작
183,High-quality ingredients and composition formula,고품질 성분 및 배합 공식
184,Unisex fragrance suitable for both genders,"남녀 공용 향수로, 두 성별 모두 사용 가능합니다."
185,Fresh and clean smell,신선하고 깨끗한 향
186,Perfect for everyday wear,일상복에 딱 좋아요
187,Feels put together and fresh,깔끔하고 산뜻한 느낌
188,Feminine and uplifiting fragrance,여성스럽고 기분 좋은 향
189,Soft and subtle scent,부드럽고 은은한 향
190,Great for those who prefer a more basic scent,은은한 향을 선호하는 분들에게 좋습니다.
191,Suitable for those sensitive to strong scents,강한 향에 민감한 분들에게 적합합니다.
192,One of the reviewer's signature scents,리뷰어가 선호하는 대표적인 향 중 하나
193,"Has a luxurious, powdery and youthful feel",고급스럽고 파우더리하며 젊은 느낌을 줍니다.
194,Long-lasting and fresh fragrance,오래 지속되는 산뜻한 향기
195,"Enveloping cloud of rose, peony, litchi and freesia","장미, 작약, 리치, 프리지아 향이 구름처럼 감싸는 향기"
196,Becomes more beautiful after an hour of application,바르고 한 시간 지나면 더욱 아름다워집니다.
197,Lovely floral shampoo-like aroma,사랑스러운 꽃향기가 나는 샴푸 같은 향입니다.
198,Suitable for extremely warm weather,매우 더운 날씨에 적합합니다.
199,Aggressively clean and soapy scent,강렬하게 깨끗하고 비누 향이 나는 향
200,Pleasurable to encounter everyone's favorite perfume,모두가 좋아하는 향수를 만나게 되어 기쁩니다.
201,Highly popular and a bestseller,매우 인기 있고 베스트셀러입니다.
202,Great pineapple scent,훌륭한 파인애플 향
203,Batch variations can offer slight differences in scent,제조 배치에 따라 향에 약간의 차이가 있을 수 있습니다.
204,Great fragrance if worn correctly,제대로 사용하면 훌륭한 향수입니다.
205,Prestige house with a legendary bestseller,전설적인 베스트셀러를 보유한 명문가
206,Holy shit unique fragrance that mesmerizes,"세상에, 사람을 홀리는 독특한 향기잖아!"
207,Initially hated because of hype but ended up becoming a favorite,처음에는 과도한 기대 때문에 미움을 받았지만 결국에는 가장 사랑받는 제품이 되었다.
208,Long lasting and strong,오래 지속되고 강력합니다
209,Yves Saint Laurent,이브 생 로랑
210,"Gorgeous, sexy, manly, charming and sophisticated scent",화려하고 섹시하며 남성적이고 매력적이며 세련된 향
211,Great for special occasions and romantic settings,특별한 날이나 로맨틱한 분위기에 안성맞춤입니다.
212,Unique and exceptional fragrance,독특하고 특별한 향기
213,Pleasant smelling for those who usually find men's fragrances too strong,남성 향수가 너무 강하다고 느끼는 분들에게도 부담 없이 즐길 수 있는 향입니다.
214,Easy to wear and versatile for different seasons and occasions,착용하기 편하고 다양한 계절과 상황에 어울립니다.
215,Good gift for mature men,중년 남성에게 좋은 선물입니다.
216,Longevity and projection can be improved with larger bottle and more sprays,더 큰 용기와 더 많은 분사 횟수를 사용하면 지속력과 확산력을 향상시킬 수 있습니다.
217,"Deep, dark, sensual, woody, aromatic, earthy (masculine)","깊고, 어둡고, 관능적이고, 나무 향이 나고, 향긋하고, 흙내음이 나는 (남성적인) 향"
218,Classy and sophisticated,고급스럽고 세련된
219,Suitable for evening or daytime wear,저녁이나 낮에 착용하기에 적합합니다.
220,Long lasting,오래 지속되는
221,Good for office/work scent,사무실/직장에 어울리는 향
222,Not suitable for those who dislike earthy scents,흙냄새를 싫어하는 사람에게는 적합하지 않습니다.
223,May not be suitable for those who prefer fresh and sporty scents,산뜻하고 스포티한 향을 선호하는 분들에게는 적합하지 않을 수 있습니다.
224,May not be suitable for those who dislike dark or gothic scents,어둡거나 고딕풍의 향을 싫어하는 분들에게는 적합하지 않을 수 있습니다.
225,Warm and comforting scent,따뜻하고 편안한 향
226,Good performance,훌륭한 성능
227,Excellent longevity,뛰어난 내구성
228,Reasonably priced,합리적인 가격
229,Creates a certain atmosphere,특정한 분위기를 조성합니다
230,Great quality,훌륭한 품질
231,Unique fragrance,독특한 향기
232,Overly popular,지나치게 인기 있는
233,Giorgio Armani,조르지오 아르마니
234,Timeless classic,시대를 초월하는 클래식
235,Easy to wear and versatile,착용하기 편하고 활용도가 높습니다.
236,Widely recognized and popular,널리 알려지고 인기 있는
237,Pleasant and intoxicating scent,기분 좋고 매혹적인 향기
238,Many women are attracted to it,많은 여성들이 그것에 매력을 느낀다.
239,Suitable for any occasion and gender,어떤 상황이나 성별에도 적합합니다.
240,Good performance and longevity,우수한 성능과 긴 수명
241,Jean Paul Gaultier,장 폴 고티에
242,Popular for a reason,인기 있는 데에는 이유가 있다
243,Appealing and sexy scent,매력적이고 섹시한 향
244,Long-lasting,오래 지속되는
245,Great for indoor events,실내 행사에 적합합니다.
246,Good projection,좋은 투영
247,Warm and cozy,따뜻하고 아늑함
248,Blended cinnamon is subtle and sweet,계피를 갈아 넣은 것은 은은하고 달콤합니다.
249,Unique scent that stands out,독특하고 눈에 띄는 향
250,Masculine and bold,남성적이고 대담한
251,Liked by many who appreciate the gasoline scent,휘발유 냄새를 좋아하는 많은 사람들에게 사랑받는 향입니다.
252,Great for colder seasons,추운 계절에 딱 좋아요
253,Can evoke strong emotions and nostalgia,강렬한 감정과 향수를 불러일으킬 수 있다
254,Long-lasting fragrance,오래 지속되는 향기
255,Good for self-confidence and feeling attractive,자신감과 매력감을 높이는 데 좋습니다.
256,Versatile for different occasions,다양한 상황에 활용 가능
257,Elegant and distinguished scent,우아하고 품격 있는 향
258,Good winter evening fragrance,겨울 저녁에 좋은 향기가 납니다.
259,Good for romantic situations,로맨틱한 상황에 적합합니다
260,Sophisticated and high class scent,세련되고 고급스러운 향
261,Lasts long and has a great scent bubble,향이 오래 지속되고 거품도 좋아요.
262,Liked by many people and gets compliments,많은 사람들에게 호감을 사고 칭찬을 받습니다.
263,Identical scent to previous formulations,이전 제품과 동일한 향
264,Requires self confidence,자신감이 필요합니다
265,Viktor&Rolf,빅터앤롤프
266,Makes some users feel girly and sexy,일부 사용자에게 여성스럽고 섹시한 느낌을 줍니다.
267,Well balanced composition,균형 잡힌 구성
268,Feminine and delicate scent,여성스럽고 섬세한 향
269,Perfect for a mature woman who still wants to feel feminine and girly,성숙한 여성이지만 여전히 여성스럽고 소녀스러운 느낌을 간직하고 싶은 여성에게 딱 맞는 제품입니다.
270,Modern classic and grown-up gourmand,모던 클래식과 성숙한 미식가
271,Great for all seasons,모든 계절에 적합합니다
272,Inspiration to many other perfumes,수많은 다른 향수에 영감을 주었습니다.
273,Narciso Rodriguez,나르시소 로드리게스
274,"Sophisticated, intelligent, and womanly",세련되고 지적이며 여성스러운
275,Intense yet not overbearing,강렬하지만 과하지 않은
276,Sensual and discreet scent,관능적이면서도 은은한 향
277,Elegant and modern fragrance,우아하고 모던한 향
278,Long-lasting on both skin and clothes,피부와 옷 모두에 오래 지속됩니다.
279,Soft and sensual second skin perfume,"부드럽고 관능적인, 마치 제2의 피부처럼 느껴지는 향수"
280,Feminine with some masculine elements,여성적인 요소에 남성적인 요소가 가미된
281,Versatile and suitable for any occasion,다용도로 활용 가능하며 어떤 상황에도 적합합니다.
282,Confidence-boosting and inviting scent,자신감을 북돋아주고 매력적인 향기
283,High-quality fragrance with good longevity,고품질의 향과 뛰어난 지속력을 자랑합니다.
284,Generates compliments and positive attention,칭찬과 긍정적인 관심을 불러일으킨다
285,Distinct from other blue fragrances,다른 파란색 향수와는 확연히 다릅니다.
286,Special sentimental value for some individuals,일부 사람들에게는 특별한 정서적 가치가 있습니다.
287,EDT version has better projection,EDT 버전은 투영 성능이 더 좋습니다.
288,Comforting and cozy EDP option for colder weather,추운 날씨에 어울리는 편안하고 아늑한 EDP 옵션
289,Carolina Herrera,캐롤리나 헤레라
290,Great for autumn and winter,가을과 겨울에 사용하기 좋습니다
291,Good for parties,파티에 좋아요
292,Addictive scent,중독성 있는 향기
293,Popular fragrance,인기 향수
294,Well composed and balanced,구성이 훌륭하고 균형이 잘 잡혀 있습니다.
295,"Sweet, floral, and heady","달콤하고, 꽃향기가 나며, 황홀한"
296,High quality DNA,고품질 DNA
297,Dolce&Gabbana,돌체앤가바나
298,Great summer fragrance,훌륭한 여름 향기
299,Fresh and feminine,산뜻하고 여성스러운
300,Delicious tart fruit mixture,맛있고 새콤한 과일 믹스
301,Explosion of fruits in the beginning,초반에 과일이 폭발적으로 쏟아져 나왔다
302,Classy take on fruity floral,과일향과 꽃향이 어우러진 고급스러운 향
303,Unique and metropolitan scent,독특하고 세련된 향
304,Good longevity,좋은 장수
305,Giorgio Armani,조르지오 아르마니
306,Fruity scent made classy and chic,과일향이 고급스럽고 세련되게 표현되었습니다
307,"Perfect balance of warm vanilla, fresh floral, and sweet fruitiness","따뜻한 바닐라 향, 신선한 꽃 향, 달콤한 과일 향이 완벽한 조화를 이룹니다."
308,Great for fall and cold weather,가을과 추운 날씨에 좋습니다.
309,Seductive and intoxicating perfume,유혹적이고 황홀한 향수
310,Mysterious and opulent fragrance,신비롭고 풍부한 향기
311,Lasts all day with one application,한 번만 발라도 하루 종일 지속됩니다.
312,Effervescent and delicate scent,활기차고 섬세한 향
313,Classy and elegant,고급스럽고 우아함
314,"Perfect for work, date night, weddings and baby showers","직장, 데이트, 결혼식, 베이비샤워에 딱 맞는 제품입니다."
315,Charismatic and uplifting scent,매력적이고 기분 좋은 향
316,Heavenly and innocent fragrance,천상의 순수한 향기
317,Uplifting and luminous,기분을 좋게 하고 빛나게 하는
318,"Perfect composition of fresh, creamy flowers",신선하고 크리미한 꽃들의 완벽한 조화
319,Gets compliments on all occasions,어떤 자리에서든 칭찬을 받습니다.
320,Good sillage and longevity,확산력과 지속력이 좋습니다.
321,Calvin Klein,캘빈 클라인
322,Good example of unisex perfume,남녀 공용 향수의 좋은 예
323,Good for hot weather,더운 날씨에 좋습니다
324,Feels fresh and modern,신선하고 현대적인 느낌이 듭니다.
325,Great for carefree days,걱정 없는 날에 딱 좋아요
326,Bottled optimism that brings about positive feelings,"긍정적인 감정을 불러일으키는, 병에 담긴 낙관주의"
327,Unique fragrance that stands out from other scents,다른 향들과 차별화되는 독특한 향
328,First unisex perfume after a long time,오랜만에 선보이는 유니섹스 향수
329,Affordable price,합리적인 가격
330,Good performance and projection,우수한 성능 및 투영
331,Gets compliments,칭찬을 받습니다
332,Bold citrus start in the opening,강렬한 시트러스 향이 첫맛을 장식합니다.
333,Close similarity to Aventus,아벤투스와 매우 유사함
334,Develops into a smokey batch of Aventus,스모키한 아벤투스 한 배치로 발전합니다.
335,Decent quality ingredients,괜찮은 품질의 재료
336,Refined quality compared to other fragrances,다른 향수에 비해 세련된 품질
337,"A complex scent that is both spicy and creamy, with notes of vanilla, citrus, and musk","바닐라, 시트러스, 머스크 향이 어우러져 스파이시하면서도 크리미한 복합적인 향을 선사합니다."
338,Timeless fragrance that has been loved by women of all ages for generations,시대를 초월하여 모든 연령대의 여성들에게 사랑받아온 향수
339,Widely recognized and respected in the perfume community,향수 업계에서 널리 인정받고 존경받는 인물
340,"Ideal for those who prefer an old fashioned, classic scent",옛날 방식의 클래식한 향을 선호하는 분들에게 이상적입니다.
341,Loved by many famous figures throughout history,역사 속 수많은 유명 인사들에게 사랑받았습니다.
342,Provides an alluring and intoxicating scent that guarantees satisfaction,매혹적이고 황홀한 향기를 선사하여 만족감을 보장합니다.
343,Can be a conversation starter and great way to connect with others who appreciate fragrance,"대화를 시작하는 좋은 계기가 될 수 있고, 향수를 좋아하는 사람들과 소통하는 좋은 방법이 될 수 있습니다."
344,"Suitable for any weather, season, or temperature","날씨, 계절, 온도에 관계없이 적합합니다."
345,Can be worn as an everyday scent,데일리 향수로 사용하기 좋습니다.
346,Versatile fragrance,다용도로 활용 가능한 향수
347,Great for outdoor use,야외 활동에 적합합니다.
348,Attractive bottle design,매력적인 병 디자인
349,Received many compliments,많은 칭찬을 받았습니다.
350,Underrated and unique,과소평가되었지만 독특한
351,Projects well,프로젝트는 잘 진행됩니다
352,May not be suitable for all seasons,모든 계절에 적합하지 않을 수 있습니다.
353,Versatile and suitable for everyday use,다용도로 활용 가능하며 일상생활에 적합합니다.
354,Good price to quantity ratio,가격 대비 수량 비율이 좋습니다.
355,Long-lasting fragrance with good sillage,향이 오래 지속되고 확산력도 좋습니다.
356,"Pleasant, clean and sexy fragrance",기분 좋고 깨끗하며 섹시한 향기
357,Attractive bottle design,매력적인 병 디자인
358,Suitable for a wide range of ages,다양한 연령대에 적합합니다
359,Well-blended scent with fresh and spicy notes,신선함과 스파이시함이 조화롭게 어우러진 향
360,Great for cooler seasons,서늘한 계절에 좋습니다
361,Classy and timeless scent,고급스럽고 시대를 초월하는 향
362,"Can be worn year-round, amped up in summer heat","사계절 내내 착용 가능하며, 여름철 더위에는 더욱 강렬한 느낌을 줍니다."
363,Perfect for business or formal occasions,비즈니스 또는 격식 있는 자리에 완벽합니다.
364,Good longevity and not overpowering,지속력이 좋고 과하지 않아요
365,Mesmerizing jasmine scent,매혹적인 자스민 향
366,Crowd-pleaser and great for special occasions,많은 사람들의 호응을 얻고 특별한 행사에 안성맞춤입니다.
367,Unique and one of the favorite fragrances,독특하고 가장 인기 있는 향수 중 하나입니다.
368,Suitable for all ages and genders,모든 연령과 성별에 적합합니다.
369,Dolce&Gabbana,돌체앤가바나
370,Feminine and attention reaching scent,여성스럽고 시선을 사로잡는 향
371,Perfect balance of warm and cool notes,따뜻한 음색과 차가운 음색의 완벽한 균형
372,Beautiful powdery vanilla with a soft luxurious cashmere texture,부드럽고 고급스러운 캐시미어 질감의 아름다운 파우더리 바닐라 향
373,"Rich, warm powder tempered by fruit",풍부하고 따뜻한 파우더에 과일 향이 더해졌습니다.
374,Prominent peach note once noticed,복숭아 향이 두드러지게 느껴집니다.
375,Ageless scent that anyone can wear,누구나 부담 없이 사용할 수 있는 시대를 초월하는 향
376,Clean and fresh with a delicious vanilla gourmand scent,깨끗하고 산뜻하며 맛있는 바닐라 구르망 향이 납니다.
377,Lolita Lempicka,롤리타 렘피카
378,Stunning bottle design with a zany and creative aesthetic,독특하고 창의적인 미학이 돋보이는 멋진 병 디자인
379,"Crispy ivy, creamy licorice, and sugared violets create a dreamy and unique scent","바삭한 담쟁이덩굴, 크리미한 감초, 그리고 달콤한 제비꽃이 어우러져 몽환적이고 독특한 향을 만들어냅니다."
380,"Scent is both calm and reckless, cute yet provocative, nostalgic yet modern","향기는 차분하면서도 거침없고, 귀여우면서도 도발적이며, 향수를 불러일으키면서도 현대적입니다."
381,"Whimsical and romantic fragrance with notes of cherry pie, vanilla, and anise","체리 파이, 바닐라, 아니스 향이 어우러진 몽환적이고 로맨틱한 향"
382,"Fresh, floral, sweet, and powdery scent with a prominent licorice note","신선하고, 꽃향기가 나며, 달콤하고, 파우더리한 향에 감초 향이 두드러지게 나타납니다."
383,"Captures the essence of autumn with tobacco, chocolate, wood, and dirt scents","담배, 초콜릿, 나무, 흙 향으로 가을의 정수를 담아냈습니다."
384,"Reminiscent of Christmas with powdery violet, vanilla, and praline notes","파우더리한 바이올렛, 바닐라, 프랄린 향이 어우러져 크리스마스를 떠올리게 합니다."
385,Maison Martin Margiela,메종 마틴 마르지엘라
386,Great for winter and holiday season,겨울과 연휴 시즌에 딱 좋아요
387,Very realistic fragrance,매우 사실적인 향
388,Evocative and transports you to memories of sitting by the fireplace,"감성적이며, 벽난로 옆에 앉아 있던 추억을 떠올리게 합니다."
389,Mixes sweet vanilla with smoky notes,달콤한 바닐라 향과 스모키한 향이 조화를 이룹니다.
390,Comforting and familiar smell,편안하고 친숙한 냄새
391,Good for relaxing with loved ones,사랑하는 사람들과 함께 휴식을 취하기에 좋습니다.
392,Better than 95% of niche fragrances,니치 향수 중 95% 이상보다 뛰어납니다.
393,Pleasant and perfect for spring/summer,쾌적하고 봄/여름에 딱 좋아요
394,Game changer in the introduction of aquatic scents for men,남성용 아쿠아틱 향수의 도입에 있어 판도를 바꾼 제품
395,One of the best aquatic scents ever made,역대 최고의 아쿠아틱 향수 중 하나
396,Nostalgic and seductive scent,향수를 불러일으키면서도 매혹적인 향
397,Easily distinguishable and natural lavender scent,쉽게 구별할 수 있고 자연스러운 라벤더 향
398,Good copy of Green Irish Tweed,그린 아이리시 트위드의 좋은 사본입니다.
399,Fresh and fruity fougere scent,신선하고 과일향이 나는 푸제르 계열 향수
400,Suitable for both women and men,여성과 남성 모두에게 적합합니다.
401,Close to the skin and won't offend anyone,피부에 밀착되어 누구에게도 불쾌감을 주지 않습니다.
